1,0,29219,2541577881,14429
2,104,28614,2709751096,14056
3,208,27890,2697461455,13537
4,312,26011,1216289875,13013
5,417,23931,2423634209,12504
6,521,23277,1936255320,11997
7,625,22579,1969123032,11487
8,729,22033,719881394,10976
9,833,21842,2480319107,10461
10,937,21310,796475308,9945
11,1042,20162,2005340814,9440
12,1146,18596,1974813991,8957
13,1250,17310,2697414377,8498
14,1354,16250,1394958187,8056
15,1458,15123,2603108545,7630
16,1562,14116,1668520249,7221
17,1667,13262,1890047248,6824
18,1771,12344,1036882064,6441
19,1875,11200,407962047,6078
20,1979,9848,2176462472,5742
21,2083,8340,2659850945,5442
22,2187,6737,263924331,5183
23,2292,5250,992665558,4968
24,2396,4067,2665658910,4794
25,2500,3110,2503643673,4654
26,2604,2161,385780028,4546
27,2708,1087,2005592230,4477
28,2812,1265197554,1425514256,4457
29,2917,256536199,233864084,4496
30,3021,2152186040,1083401613,4606
31,3125,1502466618,975600628,4797
32,3229,2948739269,532610317,5074
33,3333,184187954,2422231197,5439
34,3437,2565417892,460809424,5895
35,3542,2328180952,519960300,6443
36,3646,1609112180,2185635324,7085
37,3750,521864332,2450375888,7830
38,3854,68341273,267,8690
39,3958,2885883720,1508,9672
40,4062,2895255843,2808,10779
41,4167,8549928,4140,12000
42,4271,1264378548,5463,13321
43,4375,2896911557,6747,14719
44,4479,475403135,7979,16172
45,4583,2780003656,9168,17659
46,4687,833644792,10334,19155
47,4792,677091636,11496,20638
48,4896,1533428005,12667,22086
49,5000,2262944836,13848,23476
50,5104,1478380916,15026,24787
51,5208,2774249293,16178,26002
52,5312,100939519,17283,27108
53,5417,2304976788,18333,28101
54,5521,2497037552,19334,28981
55,5625,2689950179,20299,29751
56,5729,935952842,21246,30416
57,5833,788463322,22182,30984
58,5937,2740618663,23102,31459
59,6042,2629382077,23995,31850
60,6146,1637503320,24848,32162
61,6250,538637251,25651,32401
62,6354,466746887,26398,32575
63,6458,1314358038,27091,32690
64,6562,1929912761,27738,32752
65,6667,1309551113,28347,32766
66,6771,2446948432,28924,32737
67,6875,557519353,29468,32669
68,6979,283237824,29974,32567
69,7083,979764669,30432,32433
70,7187,738753479,30835,32273
71,7292,2743798240,31181,32088
72,7396,1552799346,31473,31882
73,7500,992900080,31714,31657
74,7604,2423634209,31910,31415
75,7708,2733809779,32063,31159
76,7812,1562289011,32174,30890
77,7917,1237318342,32239,30611
78,8021,1688501880,32255,30324
79,8125,1395154371,32218,30029
80,8229,278615498,32127,29729
81,8333,1394198415,31982,29425
82,8437,2751740831,31787,29119
83,8542,1621649665,31546,28812
84,8646,1098454663,31261,28504
85,8750,2870033287,30934,28197
86,8854,42603218,30562,27893
87,8958,1797279528,30145,27592
88,9062,1166953271,29678,27296
89,9167,2653097821,29163,27006
90,9271,1899838244,28599,26722
91,9375,856436931,27988,26447
92,9479,1948173389,27333,26180
93,9583,2372478401,26635,25923
94,9687,1917259309,25897,25677
95,9792,2031798973,25119,25442
96,9896,1540024892,24300,25221
97,10000,1050621617,23440,25013
98,10104,481548220,22540,24820
99,10208,2264658005,21602,24643
100,10312,254279519,20627,24482
101,10417,679033454,19620,24339
102,10521,1635279290,18584,24214
103,10625,1275863619,17522,24108
104,10729,2537382596,16436,24022
105,10833,916941422,15327,23957
106,10937,2305644504,14196,23913
107,11042,1169710937,13045,23891
108,11146,658,11874,23892
109,11250,1928,10686,23915
110,11354,3192,9484,23961
111,11458,4449,8271,24030
112,11562,5699,7048,24123
113,11667,6942,5817,24238
114,11771,8177,4579,24375
115,11875,9402,3333,24534
116,11979,10613,2082,24715
117,12083,11808,825,24915
118,12187,12983,596543138,25133
119,12292,14135,1993677255,25369
120,12396,15262,197324362,25621
121,12500,16364,1513289465,25885
122,12604,17441,394274083,26162
123,12708,18492,425707403,26447
124,12812,19516,1921237589,26740
125,12917,20512,690185870,27037
126,13021,21476,1168171283,27336
127,13125,22406,262940245,27635
128,13229,23301,1679058890,27931
129,13333,24160,2108941772,28222
130,13437,24981,1033491435,28506
131,13542,25765,1296062870,28780
132,13646,26511,2802631048,29044
133,13750,27217,2036795857,29294
134,13854,27884,1655605415,29530
135,13958,28507,1420353587,29750
136,14062,29085,1252859525,29953
137,14167,29617,97598843,30138
