1,0,29219,-32680,14429
2,104,28614,-32563,14056
3,208,27890,-32390,13537
4,312,26011,-32006,13013
5,417,23931,-31190,12504
6,521,23277,-30352,11997
7,625,22579,-29710,11487
8,729,22033,-29263,10976
9,833,21842,-29058,10461
10,937,21310,-28987,9945
11,1042,20162,-28799,9440
12,1146,18596,-28275,8957
13,1250,17310,-27421,8498
14,1354,16250,-26397,8056
15,1458,15123,-25301,7630
16,1562,14116,-24219,7221
17,1667,13262,-23252,6824
18,1771,12344,-22429,6441
19,1875,11200,-21680,6078
20,1979,9848,-20902,5742
21,2083,8340,-20011,5442
22,2187,6737,-18961,5183
23,2292,5250,-17765,4968
24,2396,4067,-16520,4794
25,2500,3110,-15328,4654
26,2604,2161,-14228,4546
27,2708,1087,-13187,4477
28,2812,-138,-12141,4457
29,2917,-1502,-11037,4496
30,3021,-2954,-9837,4606
31,3125,-4404,-8544,4797
32,3229,-5777,-7194,5074
33,3333,-7041,-5835,5439
34,3437,-8190,-4514,5895
35,3542,-9250,-3262,6443
36,3646,-10308,-2075,7085
37,3750,-11452,-916,7830
38,3854,-12703,267,8690
39,3958,-13999,1508,9672
40,4062,-15255,2808,10779
41,4167,-16413,4140,12000
42,4271,-17458,5463,13321
43,4375,-18418,6747,14719
44,4479,-19342,7979,16172
45,4583,-20269,9168,17659
46,4687,-21219,10334,19155
47,4792,-22193,11496,20638
48,4896,-23174,12667,22086
49,5000,-24128,13848,23476
50,5104,-25010,15026,24787
51,5208,-25793,16178,26002
52,5312,-26482,17283,27108
53,5417,-27110,18333,28101
54,5521,-27717,19334,28981
55,5625,-28325,20299,29751
56,5729,-28933,21246,30416
57,5833,-29517,22182,30984
58,5937,-30052,23102,31459
59,6042,-30518,23995,31850
60,6146,-30909,24848,32162
61,6250,-31228,25651,32401
62,6354,-31487,26398,32575
63,6458,-31703,27091,32690
64,6562,-31891,27738,32752
65,6667,-32056,28347,32766
66,6771,-32190,28924,32737
67,6875,-32275,29468,32669
68,6979,-32294,29974,32567
69,7083,-32242,30432,32433
70,7187,-32122,30835,32273
71,7292,-31947,31181,32088
72,7396,-31730,31473,31882
73,7500,-31477,31714,31657
74,7604,-31190,31910,31415
75,7708,-30864,32063,31159
76,7812,-30492,32174,30890
77,7917,-30066,32239,30611
78,8021,-29582,32255,30324
79,8125,-29040,32218,30029
80,8229,-28447,32127,29729
81,8333,-27812,31982,29425
82,8437,-27142,31787,29119
83,8542,-26440,31546,28812
84,8646,-25704,31261,28504
85,8750,-24929,30934,28197
86,8854,-24111,30562,27893
87,8958,-23248,30145,27592
88,9062,-22343,29678,27296
89,9167,-21401,29163,27006
90,9271,-20427,28599,26722
91,9375,-19426,27988,26447
92,9479,-18402,27333,26180
93,9583,-17355,26635,25923
94,9687,-16283,25897,25677
95,9792,-15185,25119,25442
96,9896,-14057,24300,25221
97,10000,-12904,23440,25013
98,10104,-11728,22540,24820
99,10208,-10534,21602,24643
100,10312,-9328,20627,24482
101,10417,-8112,19620,24339
102,10521,-6886,18584,24214
103,10625,-5651,17522,24108
104,10729,-4405,16436,24022
105,10833,-3149,15327,23957
106,10937,-1884,14196,23913
107,11042,-614,13045,23891
108,11146,658,11874,23892
109,11250,1928,10686,23915
110,11354,3192,9484,23961
111,11458,4449,8271,24030
